,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,nom_commune,id_parcelle,nombre_lots,code_type_local,type_local,nombre_pieces_principales,code_nature_culture,surface_terrain,longitude,latitude
1432,102000.0,23.0,RTE DE VERDUN,71350.0,Allerey-sur-Saône,71003000AK0086,0,1.0,Maison,4.0,S,2650.0,4.990365,46.906211
1422,60000.0,0.0,CHAUVORT,71350.0,Allerey-sur-Saône,71003000AI0145,0,0.0,0,0.0,J,748.0,4.996230000000001,46.905153000000006
1423,60000.0,4.0,RUE DU PORT,71350.0,Allerey-sur-Saône,71003000AI0146,0,1.0,Maison,4.0,S,312.0,4.9962290000000005,46.905269
1431,102000.0,0.0,LE MEIX VERROT,71350.0,Allerey-sur-Saône,71003000AK0085,0,0.0,0,0.0,J,413.0,4.990531,46.905966
478,3612.0,0.0,TERRES A LA DAME,71460.0,Ameugny,71007000ZB0016,0,0.0,0,0.0,P,11300.0,4.685219999999999,46.530839
985,42000.0,5076.0,CARRIERES D AMEUGNY,71460.0,Ameugny,710070000A0005,0,1.0,Maison,4.0,S,900.0,4.68447,46.534224
477,3612.0,0.0,TERRES A LA DAME,71460.0,Ameugny,710070000A0310,0,0.0,0,0.0,P,741.0,4.685669,46.529395
1901,700.0,0.0,BOIS DE MARNECHE,71170.0,Anglure-sous-Dun,710080000B1037,0,0.0,0,0.0,BR,665.0,4.386332,46.239436
1663,1100.0,0.0,EN PANLOUP,71170.0,Anglure-sous-Dun,710080000B0022,0,0.0,0,0.0,BR,6266.0,4.3715470000000005,46.245290000000004
3776,8775.0,0.0,VOSBOEUFS,71550.0,Anost,710090000H0302,0,0.0,0,0.0,BR,17550.0,4.069167,47.041754
3141,9000.0,0.0,PRE REVE,71550.0,Anost,710090000B0985,0,0.0,0,0.0,BS,660.0,4.0995099999999995,47.087410999999996
2426,1389.0,0.0,LES CHAUMES,71550.0,Anost,710090000G0673,0,0.0,0,0.0,P,3379.0,4.0936639999999995,47.054390999999995
3351,65000.0,0.0,LES ROUX,71550.0,Anost,710090000A0217,0,0.0,0,0.0,BS,1770.0,4.068181,47.116236
3352,65000.0,0.0,LES ROUX,71550.0,Anost,710090000A0218,0,0.0,0,0.0,BS,1610.0,4.067664,47.116353000000004
3353,65000.0,0.0,LES ROUX,71550.0,Anost,710090000A0218,0,0.0,0,0.0,T,2795.0,4.067664,47.116353000000004
3140,9000.0,0.0,PRE REVE,71550.0,Anost,710090000B0984,0,0.0,0,0.0,P,15737.0,4.099684,47.086048
3139,9000.0,0.0,PRE REVE,71550.0,Anost,710090000B0984,0,0.0,0,0.0,P,7868.0,4.099684,47.086048
3138,9000.0,0.0,LES CARISES,71550.0,Anost,710090000B0528,0,0.0,0,0.0,L,6032.0,4.103597,47.089043
3137,9000.0,0.0,CHAMP BONNARDOT,71550.0,Anost,710090000B0522,0,0.0,0,0.0,L,6560.0,4.10226,47.089899
2427,1389.0,0.0,LES CHAUMES,71550.0,Anost,710090000G0674,0,0.0,0,0.0,BS,3253.0,4.093657,47.054533
2428,1389.0,0.0,LES BUISSONS,71550.0,Anost,710090000G0746,0,0.0,0,0.0,BS,1811.0,4.089087,47.05526
3350,65000.0,0.0,LES ROUX,71550.0,Anost,710090000A0214,0,0.0,0,0.0,BS,1108.0,4.069643,47.115611
3132,1700.0,0.0,LA BISE,71550.0,Anost,710090000B0911,0,0.0,0,0.0,P,2180.0,4.1049489999999995,47.084938
3136,9000.0,0.0,JOUX,71550.0,Anost,71009000AC0153,0,0.0,0,0.0,P,1842.0,4.094924,47.086599
